0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
3769,2613,1967,1345,1341,1167,957,1003,1072,444,1100,806,798,585,423,404,618,378,253
5146,4637,3938,2699,2659,3109,2511,2411,2071,2213,1766,1918,1655,1880,1501,1708,1583,997,1120
5043,4477,3986,2933,2590,2290,2466,2443,1852,2578,1440,1616,1674,1926,2279,1680,1428,1395,1302
8267,8160,7541,7130,5641,5059,5164,5417,5630,4506,5014,5201,4030,4031,4709,4670,3760,3950,4398
