0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
2.92E+05,2.87E+05,2.84E+05,2.81E+05,2.78E+05,2.75E+05,2.73E+05,2.71E+05,2.69E+05,2.67E+05,2.65E+05,2.64E+05,2.62E+05,2.60E+05,2.58E+05,2.57E+05,2.56E+05,2.54E+05,2.52E+05
18327,19996,21856,25588,27065,27681,28886,28927,30001,31818,32298,31709,33531,33855,33968,34226,35760,38882,38592
